,name,description,language,stars,forks,labels,issues,contents
0,cd,,C++,0,0,<github.PaginatedList.PaginatedList object at 0x000001411C85A190>,<github.PaginatedList.PaginatedList object at 0x000001411C9143A0>,"[ContentFile(path=""lab1.c""), ContentFile(path=""lab10_jitin.cpp""), ContentFile(path=""lab2.c""), ContentFile(path=""lab3.c""), ContentFile(path=""lab4.c""), ContentFile(path=""lab5.cpp""), ContentFile(path=""lab5_final.cpp""), ContentFile(path=""lab7.cpp""), ContentFile(path=""lab7_final.cpp""), ContentFile(path=""lab8.cpp""), ContentFile(path=""lab9_stack.cpp"")]"
1,changeCase,,JavaScript,0,2,<github.PaginatedList.PaginatedList object at 0x000001411DA38790>,<github.PaginatedList.PaginatedList object at 0x000001411DA34130>,"[ContentFile(path=""assets""), ContentFile(path=""background.js""), ContentFile(path=""logo.png""), ContentFile(path=""manifest.json""), ContentFile(path=""notes.txt""), ContentFile(path=""popup.html""), ContentFile(path=""popup.js""), ContentFile(path=""readme.md""), ContentFile(path=""style.css"")]"
2,clock_js,Created for javascript practice,HTML,0,0,<github.PaginatedList.PaginatedList object at 0x000001411C30D190>,<github.PaginatedList.PaginatedList object at 0x000001411DA43C40>,"[ContentFile(path=""README.md""), ContentFile(path=""_config.yml""), ContentFile(path=""dark-mode.png""), ContentFile(path=""index.html""), ContentFile(path=""light-mode.png""), ContentFile(path=""script.js""), ContentFile(path=""style.css"")]"
3,cn-dump,,C++,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DA4CD30>,<github.PaginatedList.PaginatedList object at 0x000001411DA43FD0>,"[ContentFile(path=""check_sum.cpp""), ContentFile(path=""client""), ContentFile(path=""cn_midsem.cpp""), ContentFile(path=""crc.cpp""), ContentFile(path=""ip_add_class.cpp""), ContentFile(path=""lab3_q1_hamming_code.cpp""), ContentFile(path=""lab3_q2_framework.cpp""), ContentFile(path=""lab4_q1_receiver.c""), ContentFile(path=""lab4_q1_sender.c""), ContentFile(path=""lab4_q2.cpp""), ContentFile(path=""lab4_q2_1.c""), ContentFile(path=""lab4_q2_2.c""), ContentFile(path=""lab4_q2_3.c""), ContentFile(path=""lab4_q3.cpp""), ContentFile(path=""lab5_q1.cpp""), ContentFile(path=""lab5_q1_final_client.cpp""), ContentFile(path=""lab5_q1_final_server.cpp""), ContentFile(path=""lab5_q3_receiver.cpp""), ContentFile(path=""lab5_q3_sender.cpp""), ContentFile(path=""lab6_q1.cpp""), ContentFile(path=""lab6_udp_client.c""), ContentFile(path=""lab6_udp_server.c""), ContentFile(path=""lab7.cpp""), ContentFile(path=""lab7_final.cpp""), ContentFile(path=""lab8.cpp""), ContentFile(path=""lab8_mahi.cpp""), ContentFile(path=""lab9.cpp""), ContentFile(path=""linkRouting.c""), ContentFile(path=""lrc.cpp""), ContentFile(path=""test.cpp""), ContentFile(path=""vrc.cpp""), ContentFile(path=""vrc_socket_client.c""), ContentFile(path=""vrc_socket_server.c"")]"
4,competitive-programming,Solutions for my practice problems,C++,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DA58700>,<github.PaginatedList.PaginatedList object at 0x000001411DA45490>,"[ContentFile(path=""climbingStairs.cpp""), ContentFile(path=""generate_all_subsets.cpp""), ContentFile(path=""invertBinaryTree.cpp""), ContentFile(path=""reverse_a_linked_list.cpp"")]"
5,Computer-Networks,My CN Lab codes,C++,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DA74EE0>,<github.PaginatedList.PaginatedList object at 0x000001411DA4E580>,"[ContentFile(path=""LICENSE""), ContentFile(path=""README.md""), ContentFile(path=""check_sum.cpp""), ContentFile(path=""client""), ContentFile(path=""crc.cpp""), ContentFile(path=""lab3_q1_hamming_code.cpp""), ContentFile(path=""lab3_q2_framework.cpp""), ContentFile(path=""lab4_q1_receiver.c""), ContentFile(path=""lab4_q1_sender.c""), ContentFile(path=""lab4_q2.cpp""), ContentFile(path=""lab4_q2_1.c""), ContentFile(path=""lab4_q2_2.c""), ContentFile(path=""lab4_q2_3.c""), ContentFile(path=""lab4_q3.cpp""), ContentFile(path=""lab5_q1.cpp""), ContentFile(path=""lab5_q1_final_client.cpp""), ContentFile(path=""lab5_q1_final_server.cpp""), ContentFile(path=""lab5_q3_receiver.cpp""), ContentFile(path=""lab5_q3_sender.cpp""), ContentFile(path=""lab6_ip_classes.cpp""), ContentFile(path=""lab7_ip_subnetting.cpp""), ContentFile(path=""lrc.cpp""), ContentFile(path=""server""), ContentFile(path=""sever""), ContentFile(path=""vrc.cpp""), ContentFile(path=""vrc.exe"")]"
6,content_create_backend,,JavaScript,0,1,<github.PaginatedList.PaginatedList object at 0x000001411DA58F40>,<github.PaginatedList.PaginatedList object at 0x000001411DA76DC0>,"[ContentFile(path="".gitignore""), ContentFile(path=""package-lock.json""), ContentFile(path=""package.json""), ContentFile(path=""paypal_server.js""), ContentFile(path=""server.js""), ContentFile(path=""server1.js""), ContentFile(path=""vercel.json"")]"
7,content_create_backend_new,,JavaScript,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DA93CA0>,<github.PaginatedList.PaginatedList object at 0x000001411DA76730>,"[ContentFile(path="".gitignore""), ContentFile(path=""app.js""), ContentFile(path=""package-lock.json""), ContentFile(path=""package.json"")]"
8,datasciencelab,,Python,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DA9C670>,<github.PaginatedList.PaginatedList object at 0x000001411DA7B670>,"[ContentFile(path=""Dataset.csv""), ContentFile(path=""Movie_Id_Titles.csv""), ContentFile(path=""extraq.py""), ContentFile(path=""q1.py"")]"
9,dbms-group-project,,HTML,0,2,<github.PaginatedList.PaginatedList object at 0x000001411DAA2550>,<github.PaginatedList.PaginatedList object at 0x000001411DA954F0>,"[ContentFile(path=""README.md""), ContentFile(path=""assets""), ContentFile(path=""css""), ContentFile(path=""index.html""), ContentFile(path=""js""), ContentFile(path=""resume"")]"
